Health System / Hospital,City / Region,Contact,Contact Link,EMR,Last Contacted,Next Step,Notes,Owner,Program Type,Residency Specialties (high level),State(s),Status
PeaceHealth,WA / OR / AK,,,Epic,,,,,Community/Academic,"FM, IM",WA OR AK,Not started
WellSpan Health,York,,,Epic,,,,,Community/Academic,"FM, IM, OB-GYN",PA,Not started
University of Kentucky HealthCare,Lexington,,,Epic,,,,,University-based,"IM, Surgery, Peds",KY,Not started
Ochsner LSU Health Shreveport,Shreveport,,,Epic,,,,,University-based,"IM, Surgery, Psych, Peds",LA,Not started
Adventist Health White Memorial,Los Angeles,,,Epic,,,,,Community/Academic,"IM, FM, OB-GYN",CA,Not started
UHS Wilson Medical Center,Johnson City,,,Epic,,,,,Community/Academic,"FM, IM",NY,Not started
UC Irvine Health,Orange,,,Epic,,,,,University-based,"IM, Psych, Surgery, Peds",CA,Not started
Unity Health,Searcy,,,Epic,,,,,Community/Academic,"FM, EM",AR,Not started
Wellstar Health System,Atlanta Metro,,,Epic,,,,,Community/Academic,"IM, FM, OB-GYN",GA,Not started
Jersey Shore Univ. Medical Center,Neptune City,,,Epic,,,,,Community/Academic,"IM, FM, Peds",NJ,Not started
Children’s Hospital Colorado,Aurora,,,Epic,,,,,University-based,Pediatrics,CO,Not started
Atrium Health Wake Forest Baptist,Winston-Salem,,,Epic,,,,,University-based,"IM, FM, Surgery, EM",NC,Not started
Texas Health Resources,Dallas-Fort Worth,,,Epic,,,,,Community/Academic,"FM, IM, EM",TX,Not started
Community Health Network,Indianapolis,,,Epic,,,,,Community/Academic,"FM, Psych",IN,Not started
MercyOne Des Moines,Des Moines,,,Epic,,,,,Community/Academic,"IM, FM, Surgery",IA,Not started
McLaren Health Care,Multiple,,,Epic,,,,,Community/Academic,"IM, FM, OB-GYN",MI,Not started
UC Riverside Health,Riverside,,,Epic,,,,,University-based,"FM, IM",CA,Not started
