Category,Charity Name,EIN,Website,Description,Address
Arts & Culture,Public Broadcasting Service (PBS),52-0899215,https://www.pbs.org,Nonprofit public media organization that distributes educational and cultural television programming through local member stations.,"1225 S Clark St, Arlington, VA 22202, USA"
Arts & Culture,The Metropolitan Museum of Art (The Met),13-1624086,https://www.metmuseum.org,"One of the world's leading art museums, preserving, studying, and exhibiting art from across cultures and time periods to connect people with creativity and ideas.","1000 Fifth Ave, New York, NY 10028-0198"
Children & Youth,Big Brothers Big Sisters of America,23-1365190,https://www.bbbs.org,"Creates and supports one-to-one mentoring relationships that help youth build confidence, avoid risky behaviors, and achieve educational success.","2502 N Rocky Point Dr, Suite 550, Tampa, FL 33607-1446"
Children & Youth,Boys & Girls Clubs of America,13-5562976,https://www.bgca.org,"National organization of local clubs providing after-school and summer programs that support academic success, good character, and healthy lifestyles for kids and teens.","1275 Peachtree St NE, Atlanta, GA 30309"
Children & Youth,ChildFund International,54-0536100,https://www.childfund.org,"Supports children in poverty through sponsorship and community-based programs focused on health, education, and protection.","P.O. Box 1911, Merrifield, VA 22116-1911, USA"
Children & Youth,Covenant House,13-2725416,https://www.covenanthouse.org,"Provides shelter, housing, and supportive services for youth and young adults facing homelessness and trafficking in North and Central America.","461 8th Ave, New York, NY 10001, USA"
Children & Youth,Make-A-Wish Foundation of America,86-0481941,https://www.wish.org,Grants life-changing wishes for children with critical illnesses across the United States and through international affiliates.,"1702 E Highland Ave, Suite 400, Phoenix, AZ 85016, USA"
Children & Youth,"Save the Children Federation, Inc.",06-0726487,https://www.savethechildren.org,"Global children's charity improving the lives of children in the U.S. and worldwide through education, health, protection, and emergency response programs.","501 Kings Highway East, Suite 400, Fairfield, CT 06825"
Community Building,Community Action Partnership (National Community Action Partnership),52-1120274,https://communityactionpartnership.com,"National hub for local Community Action Agencies that provide anti-poverty services such as housing, energy assistance, and community development.","1020 19th St NW, Suite 700, Washington, DC 20036, USA"
Community Building,"Habitat for Humanity International, Inc.",91-1914868,https://www.habitat.org,"Works with volunteers, donors, and partner families to build and repair affordable homes and advocates for fair housing policies globally.","322 W Lamar St, Americus, GA 31709"
Community Building,Local Initiatives Support Corporation (LISC),13-3030229,https://www.lisc.org,"Community-development intermediary that invests in affordable housing, small businesses, and neighborhood revitalization across the U.S.","28 Liberty St, 34th Floor, New York, NY 10005, USA"
Community Building,National Urban League,13-1840489,https://www.nul.org,"Historic civil-rights and urban-advocacy organization promoting economic empowerment, education, jobs, and housing in underserved communities.","80 Pine St, 9th Floor, New York, NY 10005, USA"
Community Building,United Way Worldwide,13-1635294,https://www.unitedway.org,"Umbrella organization for a global network of local United Ways focused on improving education, financial stability, and health through community-driven solutions.","701 N Fairfax St, Alexandria, VA 22314"
Community Building,YMCA of the USA (National Council of YMCAs),36-3258696,https://www.ymca.net,"National resource office for local YMCAs, supporting community programs in youth development, healthy living, and social responsibility.","101 N Wacker Dr, Chicago, IL 60606"
Disabilities,Autism Speaks,20-2329938,https://www.autismspeaks.org,"Autism advocacy and research organization offering resources, support, and public-policy work for autistic people and their families.","50 F St NW, Suite 360, Washington, DC 20001, USA"
Disabilities,Best Buddies International,52-1614576,https://www.bestbuddies.org,"Creates one-to-one friendships, integrated employment, leadership development, and inclusive living opportunities for people with intellectual and developmental disabilities.","100 SE 2nd St, Suite 2200, Miami, FL 33131, USA"
Disabilities,"Easterseals, Inc.",36-2171729,https://www.easterseals.com,"Provides services and supports for children and adults with disabilities and their families, including early childhood programs, rehabilitation, and employment services.","141 W Jackson Blvd, Suite 1400A, Chicago, IL 60604"
Disabilities,National Federation of the Blind,02-0259978,https://www.nfb.org,"Membership organization of blind Americans providing advocacy, education, training, and technology programs to increase independence and opportunity.","1800 Johnson St, Baltimore, MD 21230, USA"
Disabilities,"Special Olympics, Inc.",52-0889518,https://www.specialolympics.org,"Global organization providing year-round sports training and competition for children and adults with intellectual disabilities, promoting inclusion and health.","2600 Virginia Ave NW, 11th Floor, Washington, DC 20037"
Disabilities,The Arc of the United States,13-5642032,https://thearc.org,Advocacy and service organization advancing the rights and inclusion of people with intellectual and developmental disabilities and supporting their families.,"2000 Pennsylvania Ave NW, Suite 500, Washington, DC 20006"
Disaster & Global Relief,American National Red Cross (American Red Cross),53-0196605,https://www.redcross.org,"Provides disaster relief, emergency shelter, food, health and mental health services, blood collection, and preparedness training in the U.S. and globally.","431 18th St NW, Washington, DC 20006"
Disaster & Global Relief,CARE USA (Cooperative for Assistance and Relief Everywhere),13-1685039,https://www.care.org,"International humanitarian organization fighting global poverty and responding to emergencies, with a focus on women and girls.","151 Ellis St NE, Atlanta, GA 30303, USA"
Disaster & Global Relief,Direct Relief,95-1831116,https://www.directrelief.org,Humanitarian medical aid organization that improves the health and lives of people affected by poverty and emergencies by providing essential medicines and supplies.,"6100 Wallace Becknell Rd, Santa Barbara, CA 93117"
Disaster & Global Relief,Doctors Without Borders USA (Médecins Sans Frontières USA),13-3433452,https://www.doctorswithoutborders.org,"Provides independent, impartial medical care to people affected by armed conflict, epidemics, natural disasters, and exclusion from healthcare worldwide.","40 Rector St, 16th Floor, New York, NY 10006"
Disaster & Global Relief,International Rescue Committee (IRC),13-5660870,https://www.rescue.org,"Provides emergency aid and long-term support to people affected by conflict and disaster, including refugees and displaced families.","122 E 42nd St, New York, NY 10168, USA"
Disaster & Global Relief,Mercy Corps,91-1148123,https://www.mercycorps.org,"Global humanitarian organization helping people in crisis build secure, productive, and just communities after conflict, disaster, and climate shocks.","45 SW Ankeny St, Portland, OR 97204, USA"
Education,College Possible,41-1968798,https://www.collegepossible.org,Provides coaching and support to help students from low-income backgrounds get into and graduate from college.,"755 Prior Ave N, Suite 210, Saint Paul, MN 55104, USA"
Education,DonorsChoose,13-4129457,https://www.donorschoose.org,"Crowdfunding platform where public school teachers request classroom materials and donors fund specific projects, primarily in under-resourced schools.","134 W 37th St, 11th Floor, New York, NY 10018"
Education,Khan Academy Inc.,26-1544963,https://www.khanacademy.org,"Nonprofit educational organization offering free online lessons and practice to provide a free, world-class education for anyone, anywhere.","PO Box 1630, Mountain View, CA 94042"
Education,"Reading Is Fundamental, Inc. (RIF)",52-0976257,https://www.rif.org,"Works to inspire a love of reading and improve literacy by providing books, resources, and programs to children in underserved communities.","750 1st St NE, Suite 920, Washington, DC 20002, USA"
Education,"Teach For America, Inc.",13-3541913,https://www.teachforamerica.org,Recruits and trains recent graduates and professionals to teach in low-income communities and work as leaders toward educational equity.,"25 Broadway, 12th Floor, New York, NY 10004"
Education,The Education Trust,52-1982223,https://www.edtrust.org,Advocacy and research organization dedicated to closing opportunity and achievement gaps for students of color and students from low-income families.,"1501 K St NW, Suite 200, Washington, DC 20005, USA"
Health,ALSAC St. Jude Children's Research Hospital,35-1044585,https://www.stjude.org,"ALSAC raises funds and awareness for St. Jude, which advances cures and prevention for pediatric catastrophic diseases; families never receive a bill for treatment, travel, housing, or food.","501 St. Jude Place, Memphis, TN 38105"
Health,"American Cancer Society, Inc. (ACS)",13-1788491,https://www.cancer.org,"National organization dedicated to eliminating cancer through research funding, patient support services, prevention education, and advocacy.","250 Williams St NW, Atlanta, GA 30303"
Health,"American Heart Association, Inc. (AHA)",13-5613797,https://www.heart.org,"Nationwide organization fighting heart disease and stroke through research, public education, CPR training, and advocacy for heart-healthy policies.","7272 Greenville Ave, Dallas, TX 75231"
"Health (incl. cancer, diseases)",Alzheimer's Association,13-3039601,https://www.alz.org,"Leads efforts to end Alzheimer's and other dementias through research funding, care and support services, and public policy advocacy.","225 N Michigan Ave, Floor 17, Chicago, IL 60601, USA"
"Health (incl. cancer, diseases)",Susan G. Komen,75-1835298,https://www.komen.org,"Breast-cancer organization funding research, providing community health programs, and offering patient navigation and support services.","13770 Noel Rd, Suite 801889, Dallas, TX 75380, USA"
"Health (incl. cancer, diseases)",The Leukemia & Lymphoma Society (LLS / Blood Cancer United),13-5644916,https://www.lls.org,"Funds blood-cancer research and provides patient support, education, and advocacy for those affected by leukemia, lymphoma, Hodgkin's disease, and myeloma.","1201 15th St NW, Suite 410, Washington, DC 20005, USA"
Hunger & Homelessness,Feeding America,36-3673599,https://www.feedingamerica.org,Nationwide network of food banks and partner agencies working to get nutritious food to people facing hunger and to advocate for policies that reduce food insecurity.,"161 N Clark St, Suite 700, Chicago, IL 60601"
Hunger & Homelessness,Meals on Wheels America,23-7447812,https://www.mealsonwheelsamerica.org,National association that supports local programs delivering nutritious meals and social connection to homebound and food-insecure seniors.,"1550 Crystal Dr, Suite 1004, Arlington, VA 22202, USA"
Hunger & Homelessness,"National Alliance to End Homelessness, Inc.",52-1299641,https://endhomelessness.org,"Nonpartisan organization whose sole mission is to prevent and end homelessness in the United States through research, policy, and systems-focused solutions.","1518 K St NW, 2nd Floor, Washington, DC 20005"
Hunger & Homelessness,Share Our Strength (No Kid Hungry),52-1367538,https://www.shareourstrength.org,"Runs the No Kid Hungry campaign and other initiatives to end childhood hunger in the United States through school meals, summer food, and family supports.","1030 15th St NW, Suite 1100W, Washington, DC 20005, USA"
Hunger & Homelessness,The Salvation Army National Corporation,22-2406433,https://www.salvationarmyusa.org,"Christian social-service organization providing food, emergency shelter, addiction recovery, disaster relief, and other assistance programs.","615 Slaters Ln, Alexandria, VA 22314, USA"
Hunger & Homelessness,World Food Program USA,13-3843435,https://www.wfpusa.org,U.S.-based nonprofit supporting the UN World Food Programme through fundraising and advocacy to fight global hunger and famine.,"1725 Eye St NW, Suite 510, Washington, DC 20006"
Military & Veterans,Disabled American Veterans (DAV) Charitable Service Trust,52-1521276,https://cst.dav.org,"Funds programs that support ill, injured, or homeless veterans, including rehabilitation, long-term care, and assistance for veterans facing poverty or housing insecurity.","860 Dolwick Dr, Erlanger, KY 41018"
Military & Veterans,"Fisher House Foundation, Inc.",11-3158401,https://www.fisherhouse.org,Builds and supports comfort homes near military and VA medical facilities where military and veteran families can stay at no cost while a loved one receives treatment.,"12300 Twinbrook Parkway, Suite 410, Rockville, MD 20852"
Military & Veterans,Gary Sinise Foundation,80-0587086,https://www.garysinisefoundation.org,"Honors defenders, veterans, first responders, and their families through programs like smart homes, adaptive vehicles, mental-wellness support, and community outreach.","2555 Meridian Blvd, Suite 300, Franklin, TN 37067, USA"
Military & Veterans,Hope For The Warriors,20-5182295,https://www.hopeforthewarriors.org,"Supports post-9/11 service members, veterans, and military families with programs in clinical health, transition, sports, and community engagement.","8003 Forbes Place, Suite 320, Springfield, VA 22151, USA"
Military & Veterans,Paralyzed Veterans of America (PVA),13-1946868,https://www.pva.org,"Advocates for veterans with spinal cord injury or disease, providing medical, benefits, research, and sports programs to improve quality of life.","1875 I St NW, Suite 1100, Washington, DC 20006, USA"
Military & Veterans,"Wounded Warrior Project, Inc.",20-2370934,https://www.woundedwarriorproject.org,"Veterans service organization supporting post-9/11 wounded, ill, and injured veterans and their families with mental health, physical wellness, independence, and career programs.","4899 Belfort Rd, Suite 300, Jacksonville, FL 32256"
